ID,Review,Title,Rating,Date
John C.,"i have owned the momentum 2’s for many years and love them. but, after the battery started to fail and took over 8hrs to charge i decided to upgrade. here are my thoughts:sound - really good, but different to the 2’s. took some time to get used to but i really like the sound now.battery - amazing. 60 hours is huge and makes such a difference not having to charge so regularly.comfort - the 2’s were great but these are on another level. can wear for hours on end without getting hot or ever feeling uncomfortable.look - the 2’s looked amazing with the ivory colour. these look ok, but do not stand out. build quality is excellent. no creaking on mine.controls - i hate the touch controls and miss having a button to adjust the volume. if adjusting, then it is easy to activate a control. changing the volume is hit and miss. i have turned touch controls off as they are too unreliable. it would be good to switch just some of the controls off and just have volume, or have the ability to change via the app. maybe having less controls would help it work better.connectivity - multiple devices works fine. i’ve had no issues but it niggles me that when you connect, you get a lovely voice that tells you it has connected, but when you connect a  bluetooth device, a lady from essex tells you it is connected. it is so wierd they use different voices for different announcements.all in all a great pair of headphones but i wish sennheiser would address some minor niggles.",awesome headphones…. but…,4.0,08 10 2023
R Griffiths,"at first i felt these headphones were a mixed bag of tricks. i had read other reviewers had problems but having an earlier sennheiser model and being familiar with their app i hoped for the best. however it took ages to get going. the on off control is tricky - to get a bluetooth connection the on button must be pressed till the lights flash rapidly. it's also hard to tell if it's really switched off. i then had a nightmare trying to connect to the sennheiser app. my older set connects to both the app and bluetooth in seconds and works brilliantly but the momentum 4 took me the best part of an hour plus another thirty minutes to install a firmware update. the problem i had, i think, was i initially tried connecting using a fire10 tablet and the app just didn't like it. as a last attempt i tried the fire max 11 which worked at once. i then then downloaded the update by which time i had had enough electronics for one very stressful evening. the next morning i tried again with the fire 10 and all was well. it seems the update resolved issues connecting to the app but unless you have another device or can find another way to update it's frustrating. sennheiser do say their app is designed for phones primarily and do offer support with tablet related problems but in the event i didn't need to contact them. since that first attempt i have had absolutely no problems with connection at all on any of the three devices i use.the sennheiser sound is superb on the momentum 4. i very much like the sound check system which helps to establish your personal presets by offering several sets of three settings - you select your preferred out of each set. i like a wide range of music including jazz, opera, rock, metal and in a few minutes was able to save settings for each genre. i had done this before with my older sennheiser with great success but the sound on this newer set is brilliant. unlike other reviewers i like the app. once you find your way round it it's easy to use and the online manual is comprehensive and clearly written.there is only one button on the momentum 4 much to my relief - and as i have said that one needs a bit of learning to operate effectively. other controls are by touch and these work extremely well  - swipe up and down for volume, touch for stop start etc.  unless you are committed to buttons this is a great improvement. the set is extremely comfortable with a neat flat appearance. i have noticed no clicking or creaking noises and no heat to my ears. it stays connected even when i move around a lot and stops as soon as removed from the head. the case is well designed with room for cables and guidance notes.i have used the set for about 40 hours so far, battery is still 50% charged. noise cancellation is easy to adjust on the app or the headphone touch control and seems good although i am in a quiet room. i haven't tried a phone connection as i am in an area where mobile reception is appalling.overall i am very happy but more comprehensive guidance notes in the initial paperwork would have saved me a frustrating hour - but i say that about anything new!!if your primary wish is great sound at a medium price this is a wonderful buy. but be ready to take time to establish connections and don't miss the update.",wonderful sound now that initial connection issues resolved,5.0,13 07 2023
Simon Pawlin,"i wasn’t sure how good these were going to be as iv not had a pair of wireless premium over ear cans before. i have been using apple airpods pro and found these to be very average with rubbish bass. i wanted some headphones that were comfortable, had an open sound but with good bass. not blast your ass off bass mind you, but bass that would be quality.set up was a little bit of a mixed bag and i had to faff about a bit at first, as it didn’t work first time. but it  was a smooth experience the second time around.sound quality is excellent once you tailor it to your taste. the sound is open and expansive and bass feels well controlled, deep and heavy in tracks where that is intended and gentle where it is not. so i really enjoy that it pounds to dance tracks and rumbles to pop and rnb. mids and highs are tight and clear. have not experienced any distortion at any volume.i would say that noise cancelling is ok. it’s not the best but not bad either. if this is critical for you, look elsewhere. there isn’t any pressure sensation you sometimes get- well not that i noticed anyway.the good? these are really light and comfortable and the sound is very very good with quality bass, mids and highs. a real highlight though is the battery; i have had these for a while now and only charged them fully once- which is brilliant. another thing i like is these have a great case.the bad? well, i have had a really mixed experience with connecting to the pc with the usb-c cable. it sometimes works but mostly doesn't. also, it can often repeatedly announce it is ‘connecting’ or ‘disconnecting’ which can get a little annoying. it’s seems to do this when you have multiple devices nearby. but that seems to have settled over the last few weeks and doesn’t happen as often as it used to.overall, for the price, i am really happy with these. they are quality. i have listened to the ridiculously priced apple airpods max and i think these sound better and are more comfortable. i can’t compare to sony mx5 as only listened to them once. i think you’ll be happy with these great headphones",comfortable and quality sound,4.0,04 08 2023
Dezmo63,"read a very long review by a lady who had trialed hers for months, like what she had to say, didn't like the fact that other well known brands were not even in the top five for recommended, so i've used mine and i am impressed with the battery life after playing music at decent volume with bass boosted checking app and seeing that battery hasn't even left 100% mark, further playing and only after a few hours it's still got 80% left. i do like one feature in particular if you take headphone off your head the music pauses and when you put them back to your ears the music continues, brilliant as you don't miss the tracks you were listening to unlike other headphones which would play the music off the head. very comfortable to wear virtually no drag on your head from the cradle very firm seating of ear cups no leakage from outside. be careful not to increase the volume too much when using the equaliser as i noticed that the volume is capable of making these headphones dance off your head (vibration intense). bought mine off amazon as i wanted them asap, but you will save a good bit by shopping around. best headphones i've ever had and they will last for years.",60 hour battery life. amazing.,5.0,01 10 2023
Gabriele Fazio,"this is the 3rd wireless headphones i owned in the same price range. the other 2 being from the other 2 main brands selling this type of product. compared to the other 2 brands, these are more balanced. noticeably less kick on the low frequencies. i find them nicer for jazz but less engaging for r&b and similar. it's matter of taste, great quality overall. battery life much better than the others.on the other side, controls are much worse than both the other brands. being a very smart product it has almost no buttons, but whenever you accidentally brush against any of their surfaces, even by turning your neck, they pause, start, or do something else. it can be rather annoying. the features of recognition of movement to automatically turn on/off is useless: you can't listen to music while you sit on a train or they'll turn off after a few minutes because you've not moved your head enough to keep them turned on. overall a bit of a faff to use sometimes.","good quality, bad controls",4.0,06 09 2023
Tim Myers,"first off - the first pair of these i got suffered from the random noise/hissing and crackling in one ear fault that these headphones are known for (check out the online forums). so they got returned (which took amazon a long time to process). the second pair work fine: the sound quality is excellent and the battery life and connectivity are really good. they are not however what i would call ‘premium’. the fabric headband is fine but the rest of the headphones feel plasticky and cheap which is a surprise at this price point, especially in comparison to the momentum 3 wireless which i own which cost about the same.",great sound but not as ‘premium’ feeling as you might expect at this price point,4.0,06 09 2023
RAB,"i was surprised at the quality of the sound from the momentum 4. there is a bass boost available but i certainly haven't found a need for it. how it is achieved i don't know but the sound is less centralised than other headphones i use. this has the effect of separating instruments in the music listened to.i find adjusting the volume a bit hit and miss. it is a pity volume control isn't in the sennheiser app. sometimes it takes several attempts at swiping my finger up and down before the volume will respond. there is an audio message when you reach the minimum or maximum volume which can be useful.you can adjust the transparency of the ambient sound by pinching two fingers on the touch sensitive right pad. what i use a lot is a double tap on the right pad which switches from anc to ambient and back. the anc can be set to be fully sound cancelling, fully ambient, or in-between via the sennheiser app.a single tap pauses a recording if it is possible to control the source via bluetooth. i only listen to my hifi so don't use the gestures for pausing or switching tracks so the single tap just mutes the sound which i find useful.the manual says that the headphones are atpx adaptive (atpx,  aptx low latency) or aac. if the transmitter doesn't support these it uses sbc. i have tried three different transmitters and couldn't get low latency which results in lipsynch problems watching tv. if the transmitter has atpx adaptive it connects using that. if not it connects using aptx. i could get the connection to switch to atpx hd but not atpx ll. this is frustrating as i specifically was looking for headphones that would connect via atpx ll. i contacted sennheiser support and was informed that despite what is in the manual the headphones do not work with atpx ll. aptx adaptive doesn't have the low latency of atpx ll and so the lipsynch issue watching tv can't be avoided unless you connect using cable instead of bluetooth. something i have experienced as well is if you have the tv sound on while listening with the headphones you can hear both with a long delay. presumably because the sound from the tv external to the ear pads and inside the ear pads is very similar so the noise cancelling isn't so effective. very disappointing.the sennheiser app enhances the momentum 4 with a lot of configuration options. although some people are disappointed at only having a three band equaliser to play with, there are a number of preset settings to suit what you are listening to. if you want to create your own you are presented with choosing the best sound to your liking as you listen to the sound you are configuring for. it does this several times making adjustments each time and then finally the settings are saved with a name of your choice. an unusual option i haven't met before is the ability to save settings for zones.useful things about the momentum 4 is the ability to press the button on the right ear pad and the current battery capacity is announced.  the headphones can be connected via bluetooth, wired via an aux audio jack, and wired via usb. the headphones can also be used purely for sound cancelling only if you want to shut out a noisy environment when doing something like reading.lastly, when i first received the headphones i wore them for almost 12 hours watching tv and listening to music. they are the first headphones that i have owned that didn't cause any discomfort aftera period of use.",very good sound quality and effective anc. not so good for watching tv.,4.0,21 02 2023
Nack,"i have had the momentum 2 headphones for years and i recently tried the momentum 3's. i didn't like the skinny cups on the 3's and the headband was uncomfortable on the top of my head after thirty minutes. but, they did look great, with an excellent build quality.right off the bat, i can say the 4's build quality is nothing to write home about. they creak and click as you move your head or your jaw and they're quite hot on the ears. the cups are fairly shallow and since they only twist in two directions, i found it difficult to get them comfortable on both ears. one ear always felt like it wasn't at the right angle and both ears were always touching against the odd plastic ridge that exists just inside the cups. the headband was comfortable and all-in-all, the headphones were fine to wear for long periods without hurting you. i just could never find that sweet spot.they look, par for the course for the wireless headphones available today, which is rather disappointing, but not a big deal. the sound quality does make up for it. i'll get to that though.keeping with the build quality, the headphones have foregone the buttons that came with the previous incarnations, and they now have touch controls. i'm not a fan of touch controls, but like i said, the sound quality was pretty great, so i really gave it my best shot. however, i found that they were too sensitive to the touch. a few times, i switched songs or paused with my shoulder. more times i tried to turn the volume up or down and ended up doing nothing at all, but still recieving the beep announcement of being touched. what finally put the nail in the coffin for me was the fact that the volume doesn't work in intervals, it's an actual gauge on the right headset. so i found myself constantly going a little too high or a little too low. like, i'm walking in the park, i just want to up the volume one ""jump"", not three.something else, you can adjust the active noise cancelling on the right cup, too. but, honestly it just felt like it was giving an already over active touch control another thing to do badly when all you want is to turn the music down.a lot of people have claimed the headphones had problems connecting to their phone. i didn't have any such issues. however, to access the app, it would take forever to connect and then you'd have to wait ages to actually be able to move onto the next screen.the app itself isn't fantastic. the equaliser only has three adjusters, there's no way to turn off the anc altogether. it's always on, just like the momentum 2. a step back from the momentum 3, which had a very welcome off switch. hopefully they change that in the future. you can turn off the auto pause feature though, and also a couple of other features. i did that because i like pulling my headphones onto one ear to keep listening while i'm checking what others are saying.from what i tested, auto pause works well. auto on and off worked well for the most part, but i did have them turn themselves on once, so i always used the power button on the side to be certain.the sound stage is pretty fab. it sounds deep and far reaching, with crisp audio. i messed around with the sad equaliser for a while to test variations, but honestly, that sound pretty great from the get-go. so i didn't bother with the equaliser for real listening. i love all kinds of music genres and i tried just about all of them on these babies and was not disappointed. they do have a word habit of sounding better after a particular volume level, but the previous momentum's did that too.the battery life is massive. i changed them once in twenty days i had them, to no issue. very impressive.sadly though, i couldn't get past the creaky, clicking plastic, the uncomfortable cups and the teeeeerrrrriible touch controls. i think if the volume had been at intervals, i would have kept them. clicks and all.so, for the price, they're a fantastic pair of headphones. amazing sound quality, great battery life, reliable bluetooth. sort of comfortable.great, if you can get over the other small things.why'd you take away the buttons, sennheiser? :(",great sounding headphones let down by a few things,4.0,20 09 2022
Jordan,"got these headphones as i heard good things about them and heard they had better bass and an overall better soundstage than the sony xm5's and can confirm after testing both and also comparing to the xm4 (which sounds muddy in comparison)these headphones work well on bluetooth when connecting to my iphone, sound is good and with the app you can customise how you want it to sound and as i love bass i did make it a heavy bass eq which these headphones proved they are up to the task and they are the best sounding headphones i've ever used.wired mode is not so good unfortunately, if you turn it up a bit too much or have a bass eq on an external dac or your device then it can become distorted (doesn't take much) so if you like loud music while wiring up then i'd probably not recommend but using bluetooth you can have it louder and not have any issues. when on the wire also i noticed it will change what type of anc it'll use fairly often (sometimes when just moving my head?!).","sound good, bluetooth good, wired not so.",4.0,09 08 2023
David Carew,"i also own sony wh1000 xm5. these are much louder and the sound is just as precise. i tend to use the momentums more as i love the bass. not too great when using them to listen to the tv.  love the fact that i hardly need to charge them at all. the noise cancelling isn't on par with the sony aad sometimes when. listening at high volume there is a bit of a sharp squelch although it could be spotify.  i have to admit though, the first time i put these on i was blown away by the sound!!edit: the noise cancelling doesn't seem to work too well whilst on a call, the person/scouldn't hear due to traffic and after moving the slider to it's minimum point it doesn't seem to make a difference.  it works when my music is playing  though but as i mentioned above, the xm 5 trounced these  on the anc and transparency.  it could be something i've overlooked,  and will ensure that i'm right, and will update my review accordingly.  i cannot emphasise enough though,  how much i love the signature sound of these cans, and am about to invest in some momentum 3  tws buds.",amazing sound,4.0,03 07 2023
